-- Medz's Deaths Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[DEATH] - Killed By: kiDs.(12) | Status: Wanted | Weapon: Fist | Time: 16:54:41 | Date: 10/01/23
[DEATH] - Killed By: sopers_dsoper(20) | Status: Wanted | Weapon: Fist | Time: 16:58:11 | Date: 10/01/23
[DEATH] - Killed By: [irefox](3) | Status: Wanted | Weapon: M4 | Time: 14:32:38 | Date: 10/02/23
[DEATH] - Killed By: Bombshell(0) | Status: Police Officer | Weapon: Micro SMG/Uzi | Time: 14:35:10 | Date: 10/02/23
[DEATH] - Killed By: []_Melly(14) | Status: Highly Wanted | Weapon: Sawnoff Shotgun | Time: 14:43:44 | Date: 10/02/23
[DEATH] - Killed By: jompwe125(15) | Status: Highly Wanted | Weapon: M4 | Time: 14:47:10 | Date: 10/02/23
[DEATH] - Killed By: [irefox](13) | Status: Highly Wanted | Weapon: M4 | Time: 02:52:57 | Date: 10/04/23
[DEATH] - Killed By: mr.buktot(9) | Status: Most Wanted | Weapon: Micro SMG/Uzi | Time: 14:09:57 | Date: 11/25/23
[DEATH] - Killed By: sultaN(0) | Status: Most Wanted | Weapon: Sawnoff Shotgun | Time: 13:44:30 | Date: 11/26/23
[DEATH] - Killed By: Chainsmoker(15) | Status: Wanted | Weapon: Sawnoff Shotgun | Time: 13:46:02 | Date: 11/26/23
[DEATH] - Killed By: xRNxMOHAMED(17) | Status: Wanted | Weapon: Sniper Rifle | Time: 13:48:30 | Date: 11/26/23
[DEATH] - Killed By: sultaN(0) | Status: Wanted | Weapon: Desert Eagle | Time: 13:49:50 | Date: 11/26/23
[DEATH] - Killed By: wazir(10) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 00:36:25 | Date: 11/28/23
[DEATH] - Killed By: wazir(10) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 00:38:37 | Date: 11/28/23
[DEATH] - Killed By: Xwhite(0) | Status: Highly Wanted | Weapon: Sawnoff Shotgun | Time: 00:41:50 | Date: 11/28/23
[DEATH] - Killed By: wazir(10) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 00:43:40 | Date: 11/28/23
[DEATH] - Killed By: wazir(10) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 00:44:40 | Date: 11/28/23
[DEATH] - Killed By: Xwhite(0) | Status: Wanted | Weapon: Sniper Rifle | Time: 00:46:00 | Date: 11/28/23
[DEATH] - Killed By: wazir(10) | Status: Wanted | Weapon: Sniper Rifle | Time: 00:51:36 | Date: 11/28/23
[DEATH] - Killed By: wazir(10) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 00:54:38 | Date: 11/28/23
[DEATH] - Killed By: Xwhite(0) | Status: Highly Wanted | Weapon: Micro SMG/Uzi | Time: 00:57:01 | Date: 11/28/23
[DEATH] - Killed By: wazir(10) | Status: Most Wanted | Weapon: Sawnoff Shotgun | Time: 00:58:53 | Date: 11/28/23
[DEATH] - Killed By: wazir(10) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 01:00:36 | Date: 11/28/23
[DEATH] - Killed By: Xwhite(0) | Status: Wanted | Weapon: Sniper Rifle | Time: 01:01:50 | Date: 11/28/23
[DEATH] - Killed By: Xwhite(0) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 01:07:21 | Date: 11/28/23
[DEATH] - Killed By: jHaYcHrIS1(8) | Status: Wanted | Weapon: Sawnoff Shotgun | Time: 01:09:37 | Date: 11/28/23
