-- Medz's Kills Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[KILL] - Killed: mark_daniel(24) | Status: Police Officer | Weapon: Combat Shotgun | Time: 14:34:11 | Date: 10/02/23
[KILL] - Killed: []_Melly(14) | Status: Police Officer | Weapon: Sniper Rifle | Time: 14:46:46 | Date: 10/02/23
[KILL] - Killed: Hassmenol(25) | Status: Police Officer | Weapon: Sniper Rifle | Time: 14:47:28 | Date: 10/02/23
[KILL] - Killed: jompwe125(15) | Status: Police Officer | Weapon: Sniper Rifle | Time: 14:47:44 | Date: 10/02/23
[KILL] - Killed: .Echo(7) | Status: Civilian | Weapon: Sniper Rifle | Time: 13:08:17 | Date: 10/04/23
[KILL] - Killed: KYL3(21) | Status: Highly Wanted | Weapon: Sniper Rifle | Time: 13:09:50 | Date: 10/04/23
[KILL] - Killed: Bombshell(18) | Status: Civilian | Weapon: M4 | Time: 13:13:20 | Date: 10/04/23
[KILL] - Killed: weakshit(10) | Status: Civilian | Weapon: MP5 | Time: 16:04:26 | Date: 10/30/23
[KILL] - Killed: itsyost(9) | Status: Civilian | Weapon: Sniper Rifle | Time: 16:06:12 | Date: 10/30/23
[KILL] - Killed: Wood_fox(20) | Status: Civilian | Weapon: Sniper Rifle | Time: 14:08:43 | Date: 11/25/23
[KILL] - Killed: sultaN(0) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 13:45:04 | Date: 11/26/23
[KILL] - Killed: PhaddyKing..(16) | Status: Civilian | Weapon: Desert Eagle | Time: 13:45:50 | Date: 11/26/23
[KILL] - Killed: Urbaniest(7) | Status: Wanted | Weapon: Sniper Rifle | Time: 13:49:26 | Date: 11/26/23
[KILL] - Killed: [masong](14) | Status: Highly Wanted | Weapon: Sniper Rifle | Time: 13:52:19 | Date: 11/26/23
[KILL] - Killed: sultaN(0) | Status: Highly Wanted | Weapon: Desert Eagle | Time: 13:52:28 | Date: 11/26/23
[KILL] - Killed: [masong](14) | Status: Wanted | Weapon: M4 | Time: 13:55:21 | Date: 11/26/23
[KILL] - Killed: PhaddyKing..(16) | Status: Wanted | Weapon: M4 | Time: 13:55:29 | Date: 11/26/23
[KILL] - Killed: PhaddyKing..(17) | Status: Civilian | Weapon: Sniper Rifle | Time: 20:55:50 | Date: 11/27/23
[KILL] - Killed: Xwhite(0) | Status: Wanted | Weapon: Sniper Rifle | Time: 21:07:44 | Date: 11/27/23
[KILL] - Killed: PhaddyKing..(17) | Status: Civilian | Weapon: Sniper Rifle | Time: 21:08:28 | Date: 11/27/23
[KILL] - Killed: Rabi3(6) | Status: Civilian | Weapon: Sniper Rifle | Time: 21:09:10 | Date: 11/27/23
[KILL] - Killed: Rabi3(6) | Status: Civilian | Weapon: Sniper Rifle | Time: 21:10:39 | Date: 11/27/23
[KILL] - Killed: Xwhite(0) | Status: Wanted | Weapon: Tec-9 | Time: 21:12:30 | Date: 11/27/23
[KILL] - Killed: molep(17) | Status: Highly Wanted | Weapon: Micro SMG/Uzi | Time: 00:38:09 | Date: 11/28/23
[KILL] - Killed: AK33L(16) | Status: Highly Wanted | Weapon: Sniper Rifle | Time: 00:43:29 | Date: 11/28/23
[KILL] - Killed: molep(17) | Status: Highly Wanted | Weapon: Sniper Rifle | Time: 00:43:30 | Date: 11/28/23
[KILL] - Killed: Xwhite(0) | Status: Highly Wanted | Weapon: Desert Eagle | Time: 00:47:32 | Date: 11/28/23
[KILL] - Killed: AK33L(16) | Status: Civilian | Weapon: Sniper Rifle | Time: 00:47:49 | Date: 11/28/23
[KILL] - Killed: wazir(10) | Status: Civilian | Weapon: Sniper Rifle | Time: 00:49:14 | Date: 11/28/23
[KILL] - Killed: AK33L(16) | Status: Civilian | Weapon: Sniper Rifle | Time: 00:49:21 | Date: 11/28/23
[KILL] - Killed: molep(17) | Status: Civilian | Weapon: M4 | Time: 00:49:30 | Date: 11/28/23
[KILL] - Killed: Faraon(14) | Status: Wanted | Weapon: Desert Eagle | Time: 00:49:48 | Date: 11/28/23
[KILL] - Killed: molep(17) | Status: Wanted | Weapon: Sniper Rifle | Time: 00:53:40 | Date: 11/28/23
[KILL] - Killed: molep(17) | Status: Highly Wanted | Weapon: Tec-9 | Time: 00:55:48 | Date: 11/28/23
[KILL] - Killed: Faraon(14) | Status: Highly Wanted | Weapon: M4 | Time: 00:56:53 | Date: 11/28/23
[KILL] - Killed: AK33L(16) | Status: Highly Wanted | Weapon: M4 | Time: 00:57:01 | Date: 11/28/23
[KILL] - Killed: Xwhite(0) | Status: Most Wanted | Weapon: Sawnoff Shotgun | Time: 00:58:43 | Date: 11/28/23
[KILL] - Killed: AK33L(16) | Status: Civilian | Weapon: Sawnoff Shotgun | Time: 00:58:48 | Date: 11/28/23
[KILL] - Killed: Faraon(14) | Status: Wanted | Weapon: Sniper Rifle | Time: 01:01:45 | Date: 11/28/23
[KILL] - Killed: AK33L(16) | Status: Highly Wanted | Weapon: Sniper Rifle | Time: 01:03:53 | Date: 11/28/23
[KILL] - Killed: Faraon(14) | Status: Highly Wanted | Weapon: Desert Eagle | Time: 01:04:14 | Date: 11/28/23
[KILL] - Killed: wazir(10) | Status: Highly Wanted | Weapon: Sniper Rifle | Time: 01:04:33 | Date: 11/28/23
[KILL] - Killed: wazir(10) | Status: Most Wanted | Weapon: Sawnoff Shotgun | Time: 01:06:12 | Date: 11/28/23
[KILL] - Killed: AK33L(16) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 01:06:46 | Date: 11/28/23
[KILL] - Killed: wazir(10) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 01:08:26 | Date: 11/28/23
[KILL] - Killed: Xwhite(0) | Status: Most Wanted | Weapon: Sniper Rifle | Time: 01:08:44 | Date: 11/28/23
