-- Medz's Given Hits Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[GIVE] > Name: movamed(17) | Class: Police Officer | Weapon: Silenced 9mm | Damage: 13.20 | Health: 56.00 | Armor: 63.00 | Time: 18:38:30 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Combat Shotgun | Damage: 39.60 | Health: 100.00 | Armor: 100.00 | Time: 21:55:14 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.98 | Health: 100.00 | Armor: 0.00 | Time: 21:55:31 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 5.28 | Health: 100.00 | Armor: 0.00 | Time: 21:55:32 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:33 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:33 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:33 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.98 | Health: 100.00 | Armor: 0.00 | Time: 21:55:34 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 5.28 | Health: 100.00 | Armor: 0.00 | Time: 21:55:35 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.98 | Health: 100.00 | Armor: 0.00 | Time: 21:55:36 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 5.28 | Health: 100.00 | Armor: 0.00 | Time: 21:55:36 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.98 | Health: 100.00 | Armor: 0.00 | Time: 21:55:37 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 5.28 | Health: 100.00 | Armor: 0.00 | Time: 21:55:38 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:39 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:39 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:39 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.98 | Health: 100.00 | Armor: 0.00 | Time: 21:55:40 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 5.28 | Health: 100.00 | Armor: 0.00 | Time: 21:55:41 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:42 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:42 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 21:55:43 | Date: 10/01/23
