[04:00:55.934641] (system)	Session started.
[04:00:55.935634] (debug)	Module handle: 5F3E0000

MoonLoader v.026.5-beta loaded.
Developers: FYP, hnnssy, EvgeN 1137

Copyright (c) 2016, BlastHack Team
http://blast.hk/moonloader/

[04:00:55.935634] (info)	Working directory: G:\Medz's GTA [NEW]\moonloader
[04:00:55.935634] (debug)	FP Control: 0009001F
[04:00:55.935634] (debug)	Game: GTA SA 1.0.0.0 US
[04:00:55.935634] (system)	Installing pre-game hooks...
[04:00:55.939622] (system)	Hooks installed.
[04:00:57.764967] (debug)	Initializing opcode handler table
[04:00:57.764967] (debug)	package.path = G:\Medz's GTA [NEW]\moonloader\lib\?.lua;G:\Medz's GTA [NEW]\moonloader\lib\?\init.lua;G:\Medz's GTA [NEW]\moonloader\?.lua;G:\Medz's GTA [NEW]\moonloader\?\init.lua;.\?.lua;G:\Medz's GTA [NEW]\moonloader\lib\?.luac;G:\Medz's GTA [NEW]\moonloader\lib\?\init.luac;G:\Medz's GTA [NEW]\moonloader\?.luac;G:\Medz's GTA [NEW]\moonloader\?\init.luac;.\?.luac
[04:00:57.764967] (debug)	package.cpath = G:\Medz's GTA [NEW]\moonloader\lib\?.dll;
[04:00:57.765964] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\hooks.lua'...
[04:00:57.765964] (debug)	New script: 0F487E4C
[04:00:57.766962] (system)	hooks.lua: Loaded successfully.
[04:00:57.766962] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\imgui_notf.lua'...
[04:00:57.766962] (debug)	New script: 0F487FD4
[04:00:57.785917] (system)	imgui_notf.lua: Loaded successfully.
[04:00:57.785917] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\Infinite Run.lua'...
[04:00:57.785917] (debug)	New script: 0F48846C
[04:00:57.786913] (system)	Infinite Run: Loaded successfully.
[04:00:57.786913] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\Medz.lua'...
[04:00:57.786913] (debug)	New script: 0F48815C
[04:00:57.799878] (system)	Medz.lua: Loaded successfully.
[04:00:57.799878] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\reload_all.lua'...
[04:00:57.799878] (debug)	New script: 0F4885F4
[04:00:57.800895] (system)	ML-ReloadAll: Loaded successfully.
[04:00:57.800895] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\SaveScreenCommand.lua'...
[04:00:57.800895] (debug)	New script: 0F488904
[04:00:57.802890] (system)	Example: Loaded successfully.
[04:00:57.802890] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\SF Integration.lua'...
[04:00:57.802890] (debug)	New script: 0F488C14
[04:00:57.803888] (system)	SF Integration: Loaded successfully.
[04:00:57.803888] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\xmashack.lua'...
[04:00:57.803888] (debug)	New script: 0F488F24
[04:00:57.808882] (system)	xmashack.lua: Loaded successfully.
[04:00:57.808882] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Auto] Autologin.lua'...
[04:00:57.808882] (debug)	New script: 0F48877C
[04:00:57.811868] (system)	[Auto] Autologin.lua: Loaded successfully.
[04:00:57.811868] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Auto] fixCarLeave.lua'...
[04:00:57.811868] (debug)	New script: 0F488A8C
[04:00:57.812865] (system)	[Auto] fixCarLeave.lua: Loaded successfully.
[04:00:57.812865] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Auto] Logs v1.1.lua'...
[04:00:57.812865] (debug)	New script: 0F4890AC
[04:00:57.816829] (system)	[Auto] Logs v1.1.lua: Loaded successfully.
[04:00:57.816829] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Auto]Ww_DisableAccesoriesOnAiming.lua'...
[04:00:57.816829] (debug)	New script: 0F488D9C
[04:00:57.817827] (system)	[Auto]Ww_DisableAccesoriesOnAiming.lua: Loaded successfully.
[04:00:57.817827] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Cmd] Short Commands.lua'...
[04:00:57.817827] (debug)	New script: 0F489234
[04:00:57.818827] (system)	[Cmd] Short Commands.lua: Loaded successfully.
[04:00:57.818827] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Cmd] Skin Changer.lua'...
[04:00:57.818827] (debug)	New script: 0F4893BC
[04:00:57.821816] (system)	sskin: Loaded successfully.
[04:00:57.821816] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Cmd] SW & ST.lua'...
[04:00:57.821816] (debug)	New script: 0BBDD484
[04:00:57.821816] (system)	setWeather&Time: Loaded successfully.
[04:00:57.821816] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Menu] Cheats Menu.lua'...
[04:00:57.821816] (debug)	New script: 0F8893FC
[04:00:57.848744] (system)	Medz Menu: Loaded successfully.
[04:00:57.848744] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[Menu] SWAT V1.2.lua'...
[04:00:57.848744] (debug)	New script: 0F889BA4
[04:00:57.865697] (system)	[Menu] SWAT V1.2.lua: Loaded successfully.
[04:00:57.865697] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[mimgui] Chat.lua'...
[04:00:57.865697] (debug)	New script: 0F889D2C
[04:00:57.873677] (system)	Chat MImGui: Loaded successfully.
[04:00:57.873677] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[mimgui] Textdraws.lua'...
[04:00:57.873677] (debug)	New script: 0F889584
[04:00:57.883650] (system)	[mimgui] Textdraws.lua: Loaded successfully.
[04:00:57.883650] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[PG] Menu V1.12.lua'...
[04:00:57.883650] (debug)	New script: 0F88A03C
[04:00:57.915620] (system)	[PG] Menu V1.12.lua: Loaded successfully.
[04:00:57.915620] (system)	Loading script 'G:\Medz's GTA [NEW]\moonloader\[PG] Scripts.lua'...
